Input problem; NO_INIT; INIT; Minimal optimum; NO_INIT: cost; INIT: cost; 
400 VMs, 200 PMs; 60.007; 60.006; 1189; 2.14748e+009; 1274; 
400 VMs, 200 PMs; 60.004; 60.006; 1030; 2.14748e+009; 1110; 
400 VMs, 200 PMs; 60.005; 60.006; 1220; 2.14748e+009; 1303; 
400 VMs, 200 PMs; 60.005; 60.005; 1179; 2.14748e+009; 1265; 
400 VMs, 200 PMs; 60.006; 60.005; 1189; 2.14748e+009; 1275; 
400 VMs, 200 PMs; 60.005; 60.006; 1130; 2.14748e+009; 1210; 
400 VMs, 200 PMs; 60.006; 60.006; 1199; 2.14748e+009; 1280; 
400 VMs, 200 PMs; 60.019; 60.006; 1130; 2.14748e+009; 1218; 
400 VMs, 200 PMs; 60.005; 60.005; 1109; 2.14748e+009; 1190; 
400 VMs, 200 PMs; 60.004; 60.005; 1089; 2.14748e+009; 1140; 

