Input problem; NO_SB; SB; Minimal optimum; NO_SB: cost; SB: cost; 
400 VMs, 200 PMs; 60.007; 60.006; 978; 1055; 1054; 
400 VMs, 200 PMs; 60.005; 60.005; 1280; 1366; 1366; 
400 VMs, 200 PMs; 60.005; 60.005; 1190; 2.14748e+009; 1288; 
400 VMs, 200 PMs; 60.006; 60.005; 1189; 1282; 1282; 
400 VMs, 200 PMs; 60.005; 60.005; 1320; 1410; 1409; 
400 VMs, 200 PMs; 60.006; 60.005; 1290; 1380; 1380; 
400 VMs, 200 PMs; 60.006; 60.005; 1159; 1240; 1239; 
400 VMs, 200 PMs; 60.006; 60.005; 1060; 1150; 1147; 
400 VMs, 200 PMs; 60.005; 60.006; 1360; 1450; 1450; 
400 VMs, 200 PMs; 60.006; 60.006; 1270; 1352; 1352; 

