Input problem; Minimal optimum; TO_1: cost; TO_2: cost; TO_5: cost; TO_10: cost; TO_30: cost; TO_60: cost; TO_120: cost; TO_240: cost; 
400 VMs, 200 PMs;1139;1228;1228;1228;1228;1226;1226;1225;1224; 
400 VMs, 200 PMs;1100;1180;1180;1180;1180;1180;1180;1180;1180; 
400 VMs, 200 PMs;1160;1261;1261;1258;1258;1258;1258;1258;1258; 
400 VMs, 200 PMs;1100;1202;1202;1202;1202;1202;1202;1202;1202; 
400 VMs, 200 PMs;1150;1239;1238;1238;1236;1235;1235;1235;1235; 
400 VMs, 200 PMs;1230;1310;1310;1310;1310;1310;1310;1310;1310; 
400 VMs, 200 PMs;1140;1220;1220;1220;1220;1220;1220;1220;1220; 
400 VMs, 200 PMs;1070;1150;1150;1150;1150;1150;1150;1150;1150; 
400 VMs, 200 PMs;1089;1175;1175;1175;1175;1175;1175;1174;1174; 
400 VMs, 200 PMs;1239;1326;1325;1324;1324;1324;1323;1323;1323; 
;;;;;;;;;;
;;1224;1224;1224;1224;1223;1223;1222.5;1222;
