Input problem; Minimal optimum; VM_NONE: cost; VM_MAX: cost; VM_LEX: cost; VM_SUM: cost; 
400 VMs, 200 PMs;1369;1450;1450;1467;1459; 
400 VMs, 200 PMs;950;1000;1004;1008;1007; 
400 VMs, 200 PMs;1089;1160;1168;1168;1169; 
400 VMs, 200 PMs;1260;1353;1353;1367;1369; 
400 VMs, 200 PMs;1100;1170;1175;1179;1176; 
400 VMs, 200 PMs;1180;1256;1257;1271;1267; 
400 VMs, 200 PMs;1050;1120;1112;1132;1127; 
400 VMs, 200 PMs;1010;1080;1087;1088;1089; 
400 VMs, 200 PMs;1330;1419;1429;1428;1423; 
400 VMs, 200 PMs;1099;1170;1170;1173;1173; 
;;;;;;
;1099.5;1170;1172.5;1176;1174.5;
