Input problem; VM_NONE; VM_MAX; VM_LEX; VM_SUM; Minimal optimum; VM_NONE: cost; VM_NONE: PMs on; VM_NONE: Migrations; VM_MAX: cost; VM_MAX: PMs on; VM_MAX: Migrations; VM_LEX: cost; VM_LEX: PMs on; VM_LEX: Migrations; VM_SUM: cost; VM_SUM: PMs on; VM_SUM: Migrations; 
200 VMs, 100 PMs; 60.004; 60.003; 60.003; 60.003; 560; 595; 59; 5; 595; 59; 5; 607; 60; 7; 607; 60; 7; 
200 VMs, 100 PMs; 60.003; 60.003; 60.003; 60.003; 610; 650; 65; 0; 650; 65; 0; 650; 65; 0; 649; 64; 9; 
200 VMs, 100 PMs; 60.003; 60.003; 60.003; 60.003; 639; 672; 67; 2; 682; 68; 2; 689; 68; 9; 689; 68; 9; 
200 VMs, 100 PMs; 60.003; 60.003; 60.003; 60.003; 508; 530; 53; 0; 530; 53; 0; 540; 53; 10; 2.14748e+009; 2147483647; 2147483647; 
200 VMs, 100 PMs; 60.002; 60.003; 60.003; 60.003; 700; 739; 73; 9; 742; 74; 2; 739; 73; 9; 745; 74; 5; 
200 VMs, 100 PMs; 60.003; 60.003; 60.003; 60.003; 580; 620; 62; 0; 620; 62; 0; 626; 62; 6; 2.14748e+009; 2147483647; 2147483647; 
200 VMs, 100 PMs; 60.002; 60.003; 60.003; 60.003; 660; 700; 70; 0; 706; 70; 6; 709; 70; 9; 709; 70; 9; 
200 VMs, 100 PMs; 60.003; 60.003; 60.003; 60.003; 650; 690; 68; 10; 695; 69; 5; 692; 69; 2; 692; 69; 2; 
200 VMs, 100 PMs; 60.003; 60.002; 60.003; 60.003; 669; 707; 70; 7; 706; 70; 6; 713; 71; 3; 714; 71; 4; 
200 VMs, 100 PMs; 60.003; 60.003; 60.003; 60.003; 630; 670; 67; 0; 2.14748e+009; 2147483647; 2147483647; 2.14748e+009; 2147483647; 2147483647; 2.14748e+009; 2147483647; 2147483647; 

